OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'Month', 'OriginCityMarketID'} Leakage 0.7908933152480768
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginCityName', 'Month'} Leakage 0.7961848433083654
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'Month', 'OriginState'} Leakage 0.7891808752683707
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'Month', 'OriginStateFips'} Leakage 0.7935306876191085
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'Month', 'OriginStateName'} Leakage 0.7883240771050724
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'Month', 'OriginWac'} Leakage 0.7872819494328307
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'Month', 'OriginCityMarketID'} Leakage 0.7469413640957152
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'DayofMonth', 'Month'} Leakage 0.78876129593497
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'Month', 'OriginState'} Leakage 0.7947875309822316
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'Month', 'OriginStateFips'} Leakage 0.7886364734388518
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'Month', 'OriginStateName'} Leakage 0.7883070314125576
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'Month', 'OriginWac'} Leakage 0.7870652724816932
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'Month', 'OriginCityMarketID'} Leakage 0.607168703250587
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginState', 'OriginCityMarketID'} Leakage 0.6562355226418253
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.7003457176733888
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateName', 'OriginCityMarketID'} Leakage 0.7008346872661775
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginWac', 'OriginCityMarketID'} Leakage 0.6993137817901689
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'Month', 'OriginState'} Leakage 0.7119532224131069
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'Month', 'OriginStateFips'} Leakage 0.7267001069749371
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'Month', 'OriginStateName'} Leakage 0.7122024257565012
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'Month', 'OriginWac'} Leakage 0.706227591087223
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginState', 'OriginStateFips'} Leakage 0.8022753572957201
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateName', 'OriginState'} Leakage 0.787089869824144
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginState', 'OriginWac'} Leakage 0.7919746684470421
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateName', 'OriginStateFips'} Leakage 0.8149810193143937
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateFips', 'OriginWac'} Leakage 0.797427064534405
Mask Size 5 Mask {'Origin', 'DayofMonth', 'Month', 'OriginStateName', 'OriginWac'} Leakage 0.7815076275166981
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'Month', 'OriginCityMarketID'} Leakage 0.8756881432282945
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month'} Leakage 0.8889780774164906
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'Month', 'OriginState'} Leakage 0.8450492087507232
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateFips'} Leakage 0.8464714716164762
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateName'} Leakage 0.8462670352686117
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'Month', 'OriginWac'} Leakage 0.8476276219927736
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month', 'OriginCityMarketID'} Leakage 0.790928588650032
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginState', 'OriginCityMarketID'} Leakage 0.7298347387796564
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.7839312960949619
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateName', 'OriginCityMarketID'} Leakage 0.7828508563918656
