method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsd
delgum,hospital,ProviderNumber,0.01009678840637207,0.00037598609924316406,0.007977962493896484,0.0017428398132324219,0.029167650999047168,0.6623992294064142,-0.5791676509990472,426,8,1823,10
delgum,hospital,ProviderNumber,0.002621173858642578,0.0003991127014160156,0.0003781318664550781,0.0018439292907714844,0.458343505445294,0.6623992294064142,-0.3,9,3,1823,10
delgum,hospital,ProviderNumber,0.008141756057739258,0.0004258155822753906,0.0059168338775634766,0.0017991065979003906,0.21940735109689347,0.6623992294064142,-0.7694073510968935,389,8,1823,10
delgum,hospital,ProviderNumber,0.007832050323486328,0.00038504600524902344,0.005898952484130859,0.0015480518341064453,0.385599188513301,0.6623992294064142,-0.8,316,8,1823,10
delgum,hospital,ProviderNumber,0.004988193511962891,0.00040435791015625,0.003191709518432617,0.0013921260833740234,0.458343505445294,0.6623992294064142,-0.7,92,7,1823,10
delgum,hospital,ProviderNumber,0.0022962093353271484,0.0003859996795654297,0.00035309791564941406,0.0015571117401123047,0.5860822545816282,0.6623992294064142,-0.3,4,3,1823,10
delgum,hospital,ProviderNumber,0.0028138160705566406,0.00038504600524902344,0.0007369518280029297,0.0016918182373046875,0.458343505445294,0.6623992294064142,-0.5,22,5,1823,10
delgum,hospital,ProviderNumber,0.004011631011962891,0.0008969306945800781,0.001010894775390625,0.0021038055419921875,0.5202376749670268,0.6623992294064142,-0.4,17,4,1823,10
delgum,hospital,ProviderNumber,0.002644777297973633,0.0006618499755859375,0.0004239082336425781,0.0015590190887451172,0.6623992294064142,0.6623992294064142,0.0,4,0,1823,10
delgum,hospital,ProviderNumber,0.0050067901611328125,0.0011670589447021484,0.001993894577026367,0.0018458366394042969,0.3592419527878562,0.6623992294064142,-0.5,10,5,1823,10
delgum,hospital,ProviderNumber,0.006065845489501953,0.0014090538024902344,0.002950906753540039,0.0017058849334716797,0.24175913958548945,0.6623992294064142,-0.6917591395854894,73,7,1823,10
delgum,hospital,ProviderNumber,0.0041277408599853516,0.0007398128509521484,0.0014159679412841797,0.0019719600677490234,0.3592419527878562,0.6623992294064142,-0.7,16,7,1823,10
delgum,hospital,ProviderNumber,0.00496673583984375,0.0011019706726074219,0.0004799365997314453,0.003384828567504883,0.5860822545816282,0.6623992294064142,-0.1,4,1,1823,10
delgum,hospital,ProviderNumber,0.012786865234375,0.0018091201782226562,0.008974790573120117,0.0020029544830322266,0.21940735109689347,0.6623992294064142,-0.8694073510968935,403,9,1823,10
delgum,hospital,ProviderNumber,0.0034301280975341797,0.0008199214935302734,0.0006439685821533203,0.001966238021850586,0.6623992294064142,0.6623992294064142,-0.3,4,3,1823,10
delgum,hospital,ProviderNumber,0.012737035751342773,0.0008912086486816406,0.010039806365966797,0.001806020736694336,0.0002521225070323263,0.6623992294064142,-0.6502521225070323,426,9,1823,10
delgum,hospital,ProviderNumber,0.0027031898498535156,0.00035834312438964844,0.0007898807525634766,0.0015549659729003906,0.5468475106079831,0.6623992294064142,-0.4,18,4,1823,10
delgum,hospital,ProviderNumber,0.003717660903930664,0.0006887912750244141,0.0009510517120361328,0.002077817916870117,0.5468475106079831,0.6623992294064142,-0.4,10,4,1823,10
delgum,hospital,ProviderNumber,0.005870819091796875,0.0016379356384277344,0.002032756805419922,0.0022001266479492188,0.6090400455538584,0.6623992294064142,-0.4,11,4,1823,10
