dataset,lambda,leakage,utility,mask_size
flight,10000,0.9680567115073361,-10000.538461538461,7
flight,10000,0.9826408586840785,-10000.461538461539,6
flight,10000,0.16828933816592273,-0.7692307692307693,10
flight,10000,0.08907123541814055,-0.6923076923076923,9
flight,10000,0.8846850956852224,-10000.538461538461,7
flight,10000,0.13818569520024426,-0.6153846153846154,8
flight,10000,0.13818569520024426,-0.5384615384615384,7
flight,10000,0.8846850956852224,-10000.538461538461,7
flight,10000,0.1421540216030207,-0.7692307692307693,10
flight,10000,0.9826408586840785,-10000.23076923077,3
flight,10000,0.9826408586840785,-10000.307692307691,4
flight,10000,0.13709043054518966,-0.5384615384615384,7
flight,10000,0.9826408586840785,-10000.461538461539,6
flight,10000,0.1689864093151694,-0.46153846153846156,6
flight,10000,0.8846850956852224,-10000.615384615385,8
flight,10000,0.9826408586840785,-10000.307692307691,4
flight,10000,0.1689864093151694,-0.6153846153846154,8
flight,10000,0.14967373381862104,-0.6153846153846154,8
flight,10000,0.9826408586840785,-10000.538461538461,7
flight,10000,0.9680567115073361,-10000.461538461539,6
flight,10000,0.9826408586840785,-10000.384615384615,5
flight,10000,0.9826408586840785,-10000.23076923077,3
flight,10000,0.9826408586840785,-10000.384615384615,5
flight,10000,0.8846850956852224,-10000.538461538461,7
flight,10000,0.9826408586840785,-10000.307692307691,4
flight,10000,0.9394896498108463,-10000.384615384615,5
flight,10000,0.13818569520024426,-0.7692307692307693,10
flight,10000,0.1689864093151694,-0.6153846153846154,8
flight,10000,0.8846850956852224,-10000.538461538461,7
flight,10000,0.13818569520024426,-0.7692307692307693,10
