dataset,target_attr,tau,mask_size,avg_leakage,num_masks
Onlineretail,InvoiceNo,0.9,2,0.23809523809523808,21
Onlineretail,InvoiceNo,0.9,3,0.0,35
Onlineretail,InvoiceNo,0.9,4,0.0,35
Onlineretail,InvoiceNo,0.9,5,0.0,21
Onlineretail,InvoiceNo,0.9,6,0.0,7
Onlineretail,InvoiceNo,0.9,7,0.0,1
Onlineretail,InvoiceNo,1.0,0,1.0,1
Onlineretail,InvoiceNo,1.0,1,0.8571428571428571,7
Onlineretail,InvoiceNo,1.0,2,0.23809523809523808,21
Onlineretail,InvoiceNo,1.0,3,0.0,35
Onlineretail,InvoiceNo,1.0,4,0.0,35
Onlineretail,InvoiceNo,1.0,5,0.0,21
Onlineretail,InvoiceNo,1.0,6,0.0,7
Onlineretail,InvoiceNo,1.0,7,0.0,1
