beta,leakage,utility,mask_size
4.5,9.999778782798785e-13,-22.500000000001,5
4.5,1.0,-10.0,2
4.5,9.999778782798785e-13,-27.000000000001,6
4.5,1.0,-10.0,2
4.5,0.0,-31.5,7
4.5,0.0,-31.5,7
4.5,0.0,-22.5,5
4.5,1.0,-19.0,4
4.5,0.0,-40.5,9
4.5,1.0,-5.5,1
4.5,0.0,-45.0,10
4.5,0.0,-36.0,8
4.5,0.0,-40.5,9
4.5,0.0,-45.0,10
4.5,0.0,-31.5,7
4.5,1.0,-28.0,6
4.5,1.0,-41.5,9
4.5,0.0,-45.0,10
beta,leakage,utility,mask_size
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-31.0,6
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-26.0,5
5.0,0.0,-50.0,10
5.0,1.0,-51.0,10
5.0,1.0,-26.0,5
5.0,1.0,-21.0,4
5.0,1.0,-21.0,4
5.0,1.0,-11.0,2
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-46.0,9
5.0,1.0,-26.0,5
5.0,1.0,-51.0,10
5.0,1.0,-36.0,7
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-41.0,8
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,1.0,-41.0,8
5.0,1.0,-51.0,10
5.0,1.0,-51.0,10
5.0,9.999778782798785e-13,-30.000000000001,6
5.0,1.0,-1.0,0
5.0,9.999778782798785e-13,-25.000000000001,5
5.0,1.0,-6.0,1
5.0,1.0,-16.0,3
5.0,1.0,-16.0,3
5.0,0.0,-30.0,6
5.0,0.0,-30.0,6
5.0,0.0,-25.0,5
5.0,1.999955756559757e-12,-25.000000000002,5
5.0,1.0,-16.0,3
5.0,0.0,-50.0,10
5.0,1.0,-41.0,8
5.0,0.0,-50.0,10
5.0,0.0,-40.0,8
5.0,0.0,-45.0,9
5.0,0.0,-45.0,9
5.0,1.0,-21.0,4
5.0,0.0,-50.0,10
5.0,0.0,-30.0,6
beta,leakage,utility,mask_size
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,0.0,-55.0,10
5.5,0.0,-55.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,0.0,-55.0,10
5.5,1.0,-6.5,1
5.5,0.0,-55.0,10
5.5,1.0,-56.0,10
5.5,1.0,-34.0,6
5.5,1.0,-45.0,8
5.5,1.0,-56.0,10
5.5,1.0,-45.0,8
5.5,1.0,-56.0,10
5.5,1.0,-39.5,7
5.5,1.0,-23.0,4
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-1.0,0
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,1.0,-56.0,10
5.5,9.999778782798785e-13,-22.000000000001,4
5.5,9.999778782798785e-13,-33.000000000001,6
5.5,0.0,-33.0,6
5.5,1.0,-1.0,0
5.5,0.0,-38.5,7
5.5,0.0,-38.5,7
5.5,1.0,-12.0,2
5.5,0.0,-38.5,7
5.5,0.0,-38.5,7
5.5,1.0,-17.5,3
5.5,1.0,-39.5,7
5.5,0.0,-38.5,7
5.5,1.0,-45.0,8
5.5,0.0,-55.0,10
5.5,0.0,-49.5,9
5.5,0.0,-38.5,7
5.5,0.0,-33.0,6
5.5,0.0,-44.0,8
