dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child,single_exemp,state}",5,0.8992396174440722,4,22,44,0,44,0.00016188621520996094
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate,salary}",5,0.9966144209463859,11,15,33,3,30,0.00014781951904296875
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate,single_exemp}",5,0.0,5,21,0,0,0,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,rate,state}",5,0.5621111460217352,2,24,139,0,139,0.0003750324249267578
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,salary,single_exemp}",5,0.0,5,21,0,0,0,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,salary,state}",5,0.5621111460217352,2,24,139,0,139,0.0003540515899658203
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp,single_exemp,state}",5,0.0,2,24,0,0,0,9.131431579589844e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,salary,single_exemp}",5,0.9497300713245109,9,17,37,1,36,0.00015616416931152344
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,salary,state}",5,0.9999876252933931,13,13,31,7,24,0.00015401840209960938
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate,single_exemp,state}",5,0.5621111460217352,2,24,139,0,139,0.0003440380096435547
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary,single_exemp,state}",5,0.5621111460217352,2,24,139,0,139,0.0003361701965332031
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate,salary}",5,0.9966144209463859,11,15,33,3,30,0.00014901161193847656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate,single_exemp}",5,0.0,5,21,0,0,0,8.392333984375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,rate,state}",5,0.5621111460217352,2,24,139,0,139,0.00034117698669433594
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,salary,single_exemp}",5,0.0,5,21,0,0,0,8.893013000488281e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,salary,state}",5,0.5621111460217352,2,24,139,0,139,0.0003490447998046875
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp,single_exemp,state}",5,0.0,2,24,0,0,0,9.107589721679688e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,salary,single_exemp}",5,0.9497300713245109,9,17,37,1,36,0.00014901161193847656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,salary,state}",5,0.9999876252933931,13,13,31,7,24,0.00014901161193847656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate,single_exemp,state}",5,0.5621111460217352,2,24,139,0,139,0.0003478527069091797
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary,single_exemp,state}",5,0.5621111460217352,2,24,139,0,139,0.0003399848937988281
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,salary,single_exemp}",5,0.0,5,21,0,0,0,5.3882598876953125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate,salary,state}",5,0.9116515207660179,6,20,48,0,48,0.0001709461212158203
