-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.008914947509765625,0.0,0.0033919811248779297,0.002752065658569336,1.0,-3.0,3,4,24,9748776,27
latitude_deg,0.009061098098754883,0.0,0.0034608840942382812,0.0028569698333740234,1.0,-3.0,4,4,24,9748776,27
latitude_deg,0.008653879165649414,0.0,0.0034499168395996094,0.0024068355560302734,1.0,-2.0,4,2,24,9748776,27
latitude_deg,0.009106159210205078,0.0,0.003370046615600586,0.0028870105743408203,1.0,-4.5,20,7,24,9748776,27
latitude_deg,0.008748054504394531,0.0,0.0033249855041503906,0.0026009082794189453,1.0,-4.0,11,6,24,9748776,27
latitude_deg,0.00952601432800293,0.0,0.003329038619995117,0.0033721923828125,1.0,-5.5,19,9,24,9748776,27
latitude_deg,0.009480953216552734,0.0,0.0034058094024658203,0.0033140182495117188,1.0,-5.0,17,8,24,9748776,27
latitude_deg,0.008630990982055664,0.0,0.0033516883850097656,0.0025429725646972656,1.0,-4.5,18,7,24,9748776,27
latitude_deg,0.009276866912841797,0.0,0.003364086151123047,0.0030100345611572266,0.0,-5.0,24,10,24,9748776,27
latitude_deg,0.00962972640991211,0.0,0.003373861312866211,0.003355264663696289,0.0,-4.5,24,9,24,9748776,27
latitude_deg,0.009516000747680664,0.0,0.0033681392669677734,0.003381013870239258,1.0,-3.5,7,5,24,9748776,27
latitude_deg,0.008795022964477539,0.0,0.0033109188079833984,0.002691984176635742,1.0,-4.0,14,6,24,9748776,27
latitude_deg,0.009325027465820312,0.0,0.003283977508544922,0.0032351016998291016,1.0,-5.5,22,9,24,9748776,27
latitude_deg,0.008909940719604492,0.0,0.003511667251586914,0.0025892257690429688,1.0,-3.0,7,4,24,9748776,27
latitude_deg,0.008421897888183594,0.0,0.0033028125762939453,0.002401113510131836,1.0,-2.5,4,3,24,9748776,27
latitude_deg,0.009148120880126953,0.0,0.00327301025390625,0.0030989646911621094,0.0,-6.0,24,12,24,9748776,27
latitude_deg,0.00820612907409668,0.0,0.0032351016998291016,0.0022630691528320312,1.0,-3.5,14,5,24,9748776,27
latitude_deg,0.008864641189575195,0.0,0.003365039825439453,0.0026967525482177734,1.0,-4.5,22,7,24,9748776,27
latitude_deg,0.00829315185546875,0.0,0.0033006668090820312,0.002215147018432617,1.0,-3.0,2,4,24,9748776,27
latitude_deg,0.009319067001342773,0.0,0.003326892852783203,0.0030829906463623047,1.0,-6.5,22,11,24,9748776,27
latitude_deg,0.00832509994506836,0.0,0.00335693359375,0.0021810531616210938,1.0,-3.0,10,4,24,9748776,27
latitude_deg,0.00836491584777832,0.0,0.0032927989959716797,0.0023338794708251953,1.0,-3.5,10,5,24,9748776,27
latitude_deg,0.008498191833496094,0.0,0.00327301025390625,0.002488851547241211,1.0,-5.0,14,8,24,9748776,27
latitude_deg,0.008486032485961914,0.0,0.003350973129272461,0.002385854721069336,1.0,-4.0,8,6,24,9748776,27
latitude_deg,0.008999824523925781,0.0,0.003512859344482422,0.0027761459350585938,0.0,-4.5,24,9,24,9748776,27
latitude_deg,0.009338855743408203,0.0,0.0033142566680908203,0.0031659603118896484,1.0,-5.0,15,8,24,9748776,27
latitude_deg,0.008588075637817383,0.0,0.0037097930908203125,0.0021278858184814453,1.0,-1.5,0,1,24,9748776,27
latitude_deg,0.008283853530883789,0.0,0.0033719539642333984,0.002192258834838867,1.0,-3.0,6,4,24,9748776,27
latitude_deg,0.009199142456054688,0.0,0.003511190414428711,0.0029418468475341797,1.0,-5.5,20,9,24,9748776,27
latitude_deg,0.008445978164672852,0.0,0.003297090530395508,0.002438783645629883,1.0,-4.5,20,7,24,9748776,27
latitude_deg,0.00848698616027832,0.0,0.003414154052734375,0.002357006072998047,1.0,-3.5,8,5,24,9748776,27
latitude_deg,0.008067131042480469,0.0,0.003236055374145508,0.002103090286254883,1.0,-3.5,8,5,24,9748776,27
latitude_deg,0.008673906326293945,0.0,0.003378152847290039,0.002560853958129883,1.0,-4.5,11,7,24,9748776,27
latitude_deg,0.008877038955688477,0.0,0.003404855728149414,0.002730846405029297,1.0,-5.5,20,9,24,9748776,27
latitude_deg,0.008555889129638672,0.0,0.003526926040649414,0.0023050308227539062,1.0,-4.0,17,6,24,9748776,27
-----hospital-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
ProviderNumber,0.003337860107421875,0.0,0.0004930496215820312,0.0024628639221191406,1.0,-5.0,1,8,13,974688,13
ProviderNumber,0.0028450489044189453,0.0,0.0004382133483886719,0.0020651817321777344,1.0,-2.5,0,3,13,974688,13
ProviderNumber,0.0038819313049316406,0.0,0.00043392181396484375,0.00310516357421875,1.0,-3.0,0,4,13,974688,13
ProviderNumber,0.0038640499114990234,0.0,0.0003769397735595703,0.0031828880310058594,1.0,-4.5,0,7,13,974688,13
ProviderNumber,0.0033822059631347656,0.0,0.0003809928894042969,0.0026979446411132812,1.0,-3.0,1,4,13,974688,13
ProviderNumber,0.0032770633697509766,0.0,0.00043511390686035156,0.002540111541748047,1.0,-4.0,1,6,13,974688,13
ProviderNumber,0.0030059814453125,0.0,0.00045299530029296875,0.0022339820861816406,1.0,-3.0,0,4,13,974688,13
ProviderNumber,0.003631114959716797,0.0,0.000392913818359375,0.0029349327087402344,1.0,-4.0,0,6,13,974688,13
ProviderNumber,0.0029671192169189453,0.0,0.00036215782165527344,0.0023119449615478516,1.0,-2.5,0,3,13,974688,13
