alpha,leakage,utility,mask_size
13,1.0,-16.5,7
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,1.0,-18.0,10
13,0.0,-3.0,6
13,9.999778782798785e-13,-2.500000000013,5
13,1.0,-14.0,2
13,0.0,-3.0,6
13,0.0,-2.5,5
13,9.999778782798785e-13,-3.000000000013,6
13,0.0,-3.5,7
13,0.0,-3.0,6
13,9.999778782798785e-13,-2.000000000013,4
13,0.0,-2.5,5
13,0.0,-4.0,8
13,1.0,-15.0,4
13,1.0,-14.0,2
13,0.0,-4.5,9
13,0.0,-5.0,10
13,1.0,-14.0,2
13,0.0,-2.5,5
13,0.0,-4.5,9
13,1.0,-15.0,4
13,0.0,-5.0,10
alpha,leakage,utility,mask_size
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,0.0,-4.5,9
14,1.0,-19.0,10
14,0.0,-5.0,10
14,1.0,-19.0,10
14,1.0,-17.5,7
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-16.5,5
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-18.0,8
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-15.0,2
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,1.0,-19.0,10
14,0.0,-3.5,7
14,1.0,-16.0,4
14,0.0,-3.5,7
14,9.999778782798785e-13,-2.5000000000139995,5
14,0.0,-3.0,6
14,9.999778782798785e-13,-2.0000000000139995,4
14,0.0,-3.0,6
14,0.0,-3.5,7
14,9.999778782798785e-13,-3.0000000000139995,6
14,1.0,-15.0,2
14,1.0,-17.5,7
14,1.0,-15.0,2
14,0.0,-5.0,10
14,0.0,-4.0,8
14,0.0,-5.0,10
14,0.0,-5.0,10
14,1.0,-15.5,3
14,0.0,-4.5,9
14,0.0,-4.0,8
14,0.0,-4.0,8
alpha,leakage,utility,mask_size
15,1.0,-20.0,10
15,1.0,-18.0,6
15,0.0,-5.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,0.0,-5.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-19.5,9
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-16.0,2
