dataset,epsilon,L0,leakage,utility,mask_size
hospital,0.1,0.3,0.24315756576632586,-0.9,9
hospital,0.1,0.3,0.6623992294064142,-100.4,4
hospital,0.1,0.3,0.5422684587046469,-100.4,4
hospital,0.1,0.3,0.6623992294064142,-100.3,3
hospital,0.1,0.3,0.42853421735144903,-100.6,6
hospital,0.1,0.3,0.24175913958548945,-0.8,8
hospital,0.1,0.3,0.5065292841479625,-100.6,6
hospital,0.1,0.3,0.6086948858179753,-100.4,4
hospital,0.1,0.3,0.6623992294064142,-100.3,3
hospital,0.1,0.3,0.46992211475481305,-100.3,3
hospital,0.1,0.3,0.385599188513301,-100.8,8
hospital,0.1,0.3,0.5742552604116484,-100.3,3
hospital,0.1,0.3,0.46992211475481305,-100.7,7
hospital,0.1,0.3,0.3764851312661076,-100.4,4
hospital,0.1,0.3,0.0002521225070323263,-0.9,9
hospital,0.1,0.3,0.5202376749670268,-100.7,7
hospital,0.1,0.3,0.5422684587046469,-100.3,3
hospital,0.1,0.3,0.5422684587046469,-100.3,3
hospital,0.1,0.3,0.6090400455538584,-100.4,4
hospital,0.1,0.3,0.14559895790530974,-0.8,8
hospital,0.1,0.3,0.37644887911807723,-100.4,4
hospital,0.1,0.3,0.6086948858179753,-100.5,5
hospital,0.1,0.3,0.6623992294064142,-100.4,4
hospital,0.1,0.3,0.5742552604116484,-100.3,3
hospital,0.1,0.3,0.5065292841479625,-100.4,4
hospital,0.1,0.3,0.261836400724347,-0.5,5
hospital,0.1,0.3,0.6086948858179753,-100.4,4
hospital,0.1,0.3,0.5860822545816282,-100.3,3
hospital,0.1,0.3,0.5742552604116484,-100.3,3
hospital,0.1,0.3,0.6086948858179753,-100.2,2
hospital,0.1,0.3,0.21940735109689347,-0.8,8
hospital,0.1,0.3,0.5742552604116484,-100.6,6
hospital,0.1,0.3,0.5065292841479625,-100.5,5
hospital,0.1,0.3,0.4694541344903692,-100.5,5
hospital,0.1,0.3,0.3594889549228737,-100.7,7
hospital,0.1,0.3,0.46992211475481305,-100.3,3
hospital,0.1,0.3,0.21940735109689347,-0.6,6
hospital,0.1,0.3,0.6086948858179753,-100.1,1
hospital,0.1,0.3,0.4694541344903692,-100.5,5
hospital,0.1,0.3,0.42853421735144903,-100.6,6
hospital,0.1,0.3,0.5468475106079831,-100.5,5
hospital,0.1,0.3,0.46992211475481305,-100.6,6
hospital,0.1,0.3,0.1616508089511316,-0.7,7
