dataset,epsilon,leakage,utility,mask_size
flight,0.8,0.9826408586840785,-100.07692307692308,1
flight,0.8,0.7637041577312637,-100.53846153846153,7
flight,0.8,0.9826408586840785,-100.38461538461539,5
flight,0.8,0.9826408586840785,-100.23076923076923,3
flight,0.8,0.9826408586840785,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.38461538461539,5
flight,0.8,0.9680567115073361,-100.38461538461539,5
flight,0.8,0.7637041577312637,-100.61538461538461,8
flight,0.8,0.23553045167227926,-0.8461538461538461,11
flight,0.8,0.24980936013667854,-0.6153846153846154,8
flight,0.8,0.9680567115073361,-100.3076923076923,4
flight,0.8,0.7637041577312637,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.23076923076923,3
flight,0.8,0.9826408586840785,-100.23076923076923,3
flight,0.8,0.7637041577312637,-100.46153846153847,6
flight,0.8,0.9826408586840785,-100.46153846153847,6
flight,0.8,0.9826408586840785,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.61538461538461,8
flight,0.8,0.13514845205100667,-0.5384615384615384,7
flight,0.8,0.9680567115073361,-100.53846153846153,7
flight,0.8,0.9680567115073361,-100.38461538461539,5
flight,0.8,0.2455785165522859,-0.46153846153846156,6
flight,0.8,0.7615997542394806,-100.38461538461539,5
flight,0.8,0.7615997542394806,-100.61538461538461,8
flight,0.8,0.9826408586840785,-100.38461538461539,5
flight,0.8,0.9680567115073361,-100.46153846153847,6
flight,0.8,0.7637041577312637,-100.53846153846153,7
flight,0.8,0.7615997542394806,-100.46153846153847,6
flight,0.8,0.7615997542394806,-100.53846153846153,7
