dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
122,t0.OriginAirportID int EQUAL t1.OriginAirportID int AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayofMonth int GREATER_EQUAL t1.DayofMonth int,3,100000,0,-1,0.0,0.0
123,t0.OriginState String EQUAL t1.OriginState String AND t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.Carrier String EQUAL t1.Carrier String,3,100000,0,-1,0.0,0.0
124,t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int,3,100000,0,-1,0.0,0.0
125,t0.DayOfWeek int EQUAL t1.DayOfWeek int AND t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int,2,100000,0,-1,0.0,0.0
126,t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int AND t0.DayofMonth int EQUAL t1.DayofMonth int,2,100000,0,-1,0.0,0.0
127,t0.OriginCityMarketID int LESS_EQUAL t1.OriginCityMarketID int AND t0.AirlineID int LESS_EQUAL t1.AirlineID int AND t0.Month int UNEQUAL t1.Month int,3,100000,0,-1,0.0,0.0
128,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.DayofMonth int GREATER_EQUAL t1.DayofMonth int,3,100000,25043,0,0.29850667440171985,0.04850667440171985
129,t0.DayOfWeek int EQUAL t1.DayOfWeek int AND t0.OriginWac int EQUAL t1.OriginWac int,2,100000,0,-1,0.0,0.0
130,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginCityMarketID int GREATER t1.OriginCityMarketID int AND t0.OriginWac int EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
131,t0.OriginState String EQUAL t1.OriginState String AND t0.DayOfWeek int LESS t1.DayOfWeek int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,3,100000,0,-1,0.0,0.0
132,t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.AirlineID int EQUAL t1.AirlineID int AND t0.OriginCityMarketID int UNEQUAL t1.OriginCityMarketID int,3,100000,0,-1,0.0,0.0
133,t0.OriginState String EQUAL t1.OriginState String AND t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginAirportID int LESS t1.OriginAirportID int,3,100000,25466,0,0.29749798846356607,0.047497988463566065
134,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginCityMarketID int LESS t1.OriginCityMarketID int AND t0.OriginWac int EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
135,t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.OriginWac int GREATER_EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
136,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginAirportSeqID int GREATER t1.OriginAirportSeqID int AND t0.DayOfWeek int LESS t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
137,t0.OriginCityName String UNEQUAL t1.OriginCityName String AND t0.Carrier String EQUAL t1.Carrier String AND t0.OriginStateFips int EQUAL t1.OriginStateFips int,3,100000,0,-1,0.0,0.0
138,t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.DayOfWeek int LESS t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
139,t0.OriginCityName String EQUAL t1.OriginCityName String AND t0.FlightNum int LESS_EQUAL t1.FlightNum int AND t0.DayOfWeek int GREATER_EQUAL t1.DayOfWeek int,3,100000,0,-1,0.0,0.0
140,t0.AirlineID int EQUAL t1.AirlineID int AND t0.OriginCityMarketID int UNEQUAL t1.OriginCityMarketID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
141,t0.OriginWac int EQUAL t1.OriginWac int AND t0.Month int UNEQUAL t1.Month int,2,100000,0,-1,0.0,0.0
