-----airport-----
attribute,total_time,num_explanations,cells_deleted,max_depth,memory_bytes,init_time,model_time,del_time
ProviderNumber,0.026140928268432617,13,12,1,240,0.00902700424194336,0.00043511390686035156,0.0023622512817382812
ProviderNumber,0.024692773818969727,13,12,1,240,0.00907588005065918,0.0004131793975830078,0.001332998275756836
ProviderNumber,0.024772167205810547,13,12,1,240,0.00904703140258789,0.00040984153747558594,0.0013470649719238281
ProviderNumber,0.025248050689697266,13,12,1,240,0.009386062622070312,0.0004267692565917969,0.0015480518341064453
ProviderNumber,0.025554895401000977,13,12,1,240,0.009016036987304688,0.0004532337188720703,0.0015668869018554688
ProviderNumber,0.02498030662536621,13,12,1,240,0.008664131164550781,0.0004248619079589844,0.0013837814331054688
ProviderNumber,0.024815082550048828,13,12,1,240,0.008539676666259766,0.0004444122314453125,0.0015988349914550781
ProviderNumber,0.02503800392150879,13,12,1,240,0.009064912796020508,0.0004572868347167969,0.0014307498931884766
ProviderNumber,0.026156187057495117,13,12,1,240,0.010026931762695312,0.00046515464782714844,0.0016026496887207031
ProviderNumber,0.02545309066772461,13,12,1,240,0.009500265121459961,0.0004677772521972656,0.0013899803161621094
ProviderNumber,0.024445772171020508,13,12,1,240,0.00863194465637207,0.0004298686981201172,0.0013360977172851562
ProviderNumber,0.024670839309692383,13,12,1,240,0.008790969848632812,0.00049591064453125,0.0018420219421386719
ProviderNumber,0.025693893432617188,13,12,1,240,0.009431123733520508,0.0004379749298095703,0.0014829635620117188
ProviderNumber,0.024940013885498047,13,12,1,240,0.009009122848510742,0.00043487548828125,0.0014219284057617188
ProviderNumber,0.026541948318481445,13,12,1,240,0.008761882781982422,0.00045609474182128906,0.0034160614013671875
ProviderNumber,0.025303125381469727,13,12,1,240,0.009100914001464844,0.00044608116149902344,0.001522064208984375
ProviderNumber,0.025704145431518555,13,12,1,240,0.008803844451904297,0.0004241466522216797,0.0018529891967773438
ProviderNumber,0.027781009674072266,13,12,1,240,0.01081395149230957,0.0004792213439941406,0.0021409988403320312
