beta,leakage,utility,mask_size
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
8.5,1.0,-0.5,0
beta,leakage,utility,mask_size
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
9.0,1.0,-0.5,0
beta,leakage,utility,mask_size
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
9.5,1.0,-0.5,0
