method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,adult,education,0.03307700157165527,0.003965854644775391,0.026684999465942383,0.0024261474609375,0.49122554744404323,Unnamed: 21,-1000.0,7,0,2858,12,epsilon_m,L0
marginal_em,adult,education,0.0219531059265136,0.00136399269104,0.0181391239166259,0.0024499893188476,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.021963357925415,0.0013341903686523,0.0181879997253417,0.0024411678314208,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222711563110351,0.0013329982757568,0.018277883529663,0.0026602745056152,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222048759460449,0.0013239383697509,0.0182509422302246,0.0026299953460693,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0217730998992919,0.0013399124145507,0.0181901454925537,0.0022430419921875,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225465297698974,0.0013618469238281,0.0182678699493408,0.0029168128967285,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225670337677001,0.0013492107391357,0.0181708335876464,0.0030469894409179,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225279331207275,0.0014111995697021,0.0184218883514404,0.0026948451995849,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0223162174224853,0.0013630390167236,0.0182220935821533,0.0027310848236083,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0223207473754882,0.0013670921325683,0.0183448791503906,0.0026087760925292,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0224461555480957,0.0013539791107177,0.0183141231536865,0.0027780532836914,0.141854762675785,,-1003.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0226068496704101,0.0013430118560791,0.0183229446411132,0.0029408931732177,0.0027841939253507,,-7.0,7,7,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220940113067626,0.0013468265533447,0.0181691646575927,0.0025780200958251,0.2673304963584648,,-1002.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220627784729003,0.0013329982757568,0.01820969581604,0.0025200843811035,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220601558685302,0.0013430118560791,0.0182290077209472,0.0024881362915039,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222799777984619,0.0013649463653564,0.0181021690368652,0.0028128623962402,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0218830108642578,0.0013439655303955,0.0182290077209472,0.002310037612915,0.2673304963584648,,-1002.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0329871177673339,0.0013298988342285,0.0286211967468261,0.0030360221862792,0.141854762675785,,-1003.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0223138332366943,0.001357078552246,0.0182447433471679,0.0027120113372802,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0233802795410156,0.0013628005981445,0.0181953907012939,0.0038220882415771,0.0623400217666499,,-5.0,7,5,2858,12,,,,,,,,,,,,,,0.0,0.1
