method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,tax,city,0.003271818161010742,0.0003707408905029297,0.0003771781921386719,0.0025238990783691406,0.0,Unnamed: 21,-3.0,1,3,201,3.1,epsilon_m,L0
marginal_em,tax,city,0.0072109699249267,0.0009322166442871,0.000612735748291,0.0056660175323486,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0043408870697021,0.0003440380096435,0.0005850791931152,0.0034117698669433,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0045616626739501,0.0003869533538818,0.0005419254302978,0.0036327838897705,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.004753828048706,0.000403881072998,0.000741958618164,0.0036079883575439,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0060760974884033,0.0005700588226318,0.0007941722869873,0.0047118663787841,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0049812793731689,0.0003833770751953,0.0009217262268066,0.0036761760711669,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.006382942199707,0.0004200935363769,0.0007040500640869,0.0052587985992431,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.004594087600708,0.0005359649658203,0.0006549358367919,0.0034031867980957,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0050444602966308,0.0005190372467041,0.0010643005371093,0.0034611225128173,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0074460506439208,0.0004608631134033,0.0005161762237548,0.0064690113067626,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0043950080871582,0.0005900859832763,0.0007970333099365,0.0030078887939453,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0054819583892822,0.0013179779052734,0.0003399848937988,0.0038239955902099,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0110397338867187,0.0006678104400634,0.0009150505065917,0.0094568729400634,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0043506622314453,0.0006117820739746,0.0008058547973632,0.0029330253601074,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0065209865570068,0.0003798007965087,0.0009620189666748,0.0051791667938232,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.005364179611206,0.0005698204040527,0.0008041858673095,0.0039901733398437,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0078399181365966,0.0004589557647705,0.0014081001281738,0.0059728622436523,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0040340423583984,0.0005700588226318,0.0007209777832031,0.0027430057525634,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0042519569396972,0.0002658367156982,0.0003359317779541,0.0036501884460449,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0038139820098876,0.0003519058227539,0.0004570484161376,0.003005027770996,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0252437591552734,0.0006568431854248,0.0007300376892089,0.0238568782806396,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0043377876281738,0.0005838871002197,0.0005948543548583,0.0031590461730957,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0033373832702636,0.0002639293670654,0.0004432201385498,0.0026302337646484,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0042119026184082,0.0002748966217041,0.000483751296997,0.003453254699707,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.0048661231994628,0.0004830360412597,0.0005409717559814,0.0038421154022216,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
marginal_em,tax,city,0.007087230682373,0.0008502006530761,0.0007438659667968,0.0054931640625,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,5.0,0.1
