method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,hospital,ProviderNumber,0.027265071868896484,0.0014500617980957031,0.023368120193481445,0.002446889877319336,0.0001443939775050973,Unnamed: 21,-9.0,4,9,1823,10,epsilon_m,L0
marginal_em,hospital,ProviderNumber,0.0145092010498046,0.0005180835723876,0.0118110179901123,0.0021800994873046,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143849849700927,0.000511884689331,0.0119540691375732,0.0019190311431884,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145633220672607,0.0005362033843994,0.0119209289550781,0.0021061897277832,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0136859416961669,0.000511884689331,0.0110840797424316,0.0020899772644042,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0140385627746582,0.0005128383636474,0.0115370750427246,0.0019886493682861,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146782398223876,0.0005078315734863,0.0118942260742187,0.0022761821746826,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0139312744140625,0.0005130767822265,0.0115072727203369,0.001910924911499,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0148158073425292,0.0005168914794921,0.0119190216064453,0.0023798942565917,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144720077514648,0.0005209445953369,0.0118169784545898,0.002134084701538,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0140678882598876,0.0005249977111816,0.0115971565246582,0.0019457340240478,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143651962280273,0.0005228519439697,0.01182222366333,0.0020201206207275,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143063068389892,0.0005137920379638,0.0117213726043701,0.0020711421966552,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.014186143875122,0.0005080699920654,0.0118091106414794,0.0018689632415771,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0139446258544921,0.0005078315734863,0.0113170146942138,0.0021197795867919,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0140707492828369,0.0005300045013427,0.0116059780120849,0.0019347667694091,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
